"S.c","I.c","R.c","S.m","I.m","R.m","V7","V8","V9"
1.8225929937701e+25,2.04213606389324e+25,1.89052867898867e+25,7.6365030717323e+24,2.01033473785184e+25,3.01303302744063e+24,1.5971215277672e+25,2.372220988801e+25,4.04458318862017e+24
2.25848015699756e+25,6.1670673092783e+24,6.45628985848601e+24,1.18632897812865e+25,1.96430688910538e+25,2.38111742162203e+25,2.39916760735122e+25,1.12521133056667e+25,2.38595447569016e+25
1.32634638745145e+24,1.80316684604282e+24,2.62644396550055e+25,1.90602133134085e+25,6.66292551988318e+24,8.27077315877646e+24,2.73851144632659e+24,2.11058366451434e+25,1.79389882779538e+25
2.43566725307874e+25,9.61064580596173e+24,1.81929704848186e+25,1.54865769137319e+25,9.7409104892064e+24,7.29999644356807e+24,2.5429194982252e+25,2.49586376028451e+25,2.01493817929338e+25
1.53935501136278e+25,1.44369985101938e+25,1.5896351834301e+25,1.43138274449157e+25,1.92924834972127e+24,3.27957233077614e+24,1.55496992393936e+25,1.22335898047691e+25,1.50581304302597e+24
2.49102478034601e+25,8.85546800544201e+23,4.53814691182294e+23,2.59035203267617e+25,5.01595358394735e+23,1.5723166294286e+25,1.48619350532845e+25,1.58280421931145e+24,1.65398534286505e+25
2.18755921554406e+25,1.75616423418864e+25,3.12736999190377e+24,9.49226428765865e+24,1.34639880089578e+25,2.59988843228613e+25,4.86322141584827e+24,1.59660806621048e+25,2.5864186849986e+24
6.84871231991216e+24,5.50693895859066e+24,8.91052187524412e+24,1.73687385628334e+25,1.48011791584927e+24,2.37816049335253e+24,4.19221363248361e+24,1.79656645956807e+25,1.68705112359799e+25
2.26636506531557e+25,2.60860303779219e+25,1.05953573885833e+24,7.66087359461064e+24,1.46264193832796e+25,2.34654313594129e+25,1.44239955897789e+25,1.38209990856896e+25,1.45250378330019e+25
2.08822983793954e+25,1.61507594364576e+25,5.43305748709896e+24,3.97960283932134e+24,2.28481971592957e+25,3.23660535162705e+24,1.23815086833609e+25,2.14047844679415e+25,2.41114928724605e+25
9.73778980401299e+24,8.30210362777951e+24,1.55029276133118e+25,1.05079033678556e+25,7.67472120223672e+24,1.07795984149928e+24,2.63985079567892e+25,1.61625452753913e+25,7.97365560962006e+24
6.9741726155378e+24,1.32219147359969e+25,5.46229373130128e+24,2.10988818841697e+25,6.49766358565827e+24,7.74867661610305e+24,3.06854263351924e+24,2.02091283548649e+25,4.96771777723871e+24
1.01695678884267e+25,2.24152608800105e+25,1.3999237223256e+25,1.68295270155691e+25,1.48440944996033e+25,1.59321809154599e+25,1.77493885200008e+25,2.07268854672856e+25,1.78782773375501e+25
1.78541137098374e+25,5.65285071813911e+24,2.4797682984057e+25,6.29392622179681e+24,2.61475303802641e+25,1.32614083017845e+25,1.69401299765374e+25,1.40586845923601e+25,2.16747007698369e+25
1.71719153584335e+25,1.64157738112446e+25,3.46668683553841e+23,9.79936490842691e+24,1.06514167913827e+25,2.00446703653752e+25,6.37706692889128e+24,1.45912082977241e+25,1.77124349559114e+25
2.61966428635067e+25,9.39220014513017e+24,5.97160728325488e+24,6.09228536747424e+24,1.78105617078921e+25,2.63371120333166e+25,2.33017697517603e+25,1.89826146459164e+25,5.07459698789986e+24
2.23630457075766e+25,7.85102050319969e+24,2.05657907306438e+25,2.44977324587472e+25,1.86908556485149e+25,1.5777528685015e+25,2.30442205148215e+24,5.26468265112412e+24,2.3049934321862e+25
5.70423015025059e+24,1.5793870948511e+25,2.3877884573312e+25,1.45984024835117e+24,6.71866022179772e+24,2.22246490302982e+25,2.12280671512671e+25,2.45880451712249e+25,1.09355929989312e+25
8.62079235659917e+24,2.62853422229095e+25,1.58708507805044e+25,1.61060708469089e+25,1.3829620835254e+24,1.2503836279679e+25,3.64717849485857e+24,2.3835440865714e+25,1.88994723205458e+24
1.90122225783992e+25,7.75999783157584e+24,7.78711372273044e+24,1.94185916033203e+25,5.72076088772683e+24,2.69863100845091e+24,2.8212223076506e+24,1.73472130115537e+25,1.93510454437927e+25
8.89273877742127e+24,2.13866276414461e+25,1.29977505836186e+24,1.65778507936663e+25,2.2610184514106e+25,2.43913205572105e+25,1.60639229934728e+24,9.68904380740721e+24,1.37444290061641e+25
2.60458339569248e+25,2.06618030255611e+24,9.07351105286292e+24,2.59846362967338e+25,7.96056162987152e+24,1.87045607104581e+25,6.04238633822478e+24,1.30483323813472e+25,9.91595924717023e+24
6.54564593893222e+24,4.72986438963311e+24,3.99667696509845e+24,1.92655268112029e+25,3.60142432687753e+24,2.02915288679643e+25,1.81608081870997e+25,4.29579537252223e+23,1.60188997351045e+25
9.100565618943e+24,7.20183866128121e+24,9.32248959025837e+24,1.62749775794072e+25,1.94311354140706e+25,2.55554821303406e+25,2.41359161790881e+25,1.64509146768327e+25,7.26021178868617e+24
7.51787544482593e+24,5.77884001691499e+24,1.1586390551142e+24,1.86493455681463e+25,3.10441873378143e+24,1.27157175088596e+25,7.92076703416181e+24,1.15928981035912e+25,8.77533011079888e+24
2.62297673060354e+25,6.64936347538961e+24,1.03261208518777e+25,2.3333529520567e+25,8.14968270504861e+24,2.09349049002629e+25,2.29483570303109e+25,2.60720988966563e+25,7.31770543784768e+24
1.80873917201797e+25,1.80234271691336e+25,2.52402999454206e+25,2.50176852626919e+25,1.5066693347353e+25,1.93972412385024e+25,1.69697137922569e+25,4.93895385449581e+24,1.58283977226116e+25
1.9865023199857e+25,2.58084815908111e+25,8.55867988549315e+24,1.28013830070146e+25,3.85544222345568e+24,8.23039665446786e+23,8.20603503111017e+24,2.24717688455455e+25,2.52896273255991e+25
1.34944520166691e+25,8.79836725653717e+24,1.854446724309e+25,2.45112453341585e+25,3.32812530991417e+24,2.15132085304352e+25,2.56268602397627e+25,4.51029477575911e+24,2.43407963365764e+25
8.35887746911645e+24,1.69923277128384e+25,1.31840565873439e+25,2.22461855045569e+25,2.54770049343495e+25,2.24507910682013e+25,7.82456623654936e+24,6.81174061348095e+24,1.00673812224639e+24
1.31144230848464e+25,1.00648045561254e+25,4.86184759026277e+23,2.19761939994365e+24,9.5957855340966e+24,2.55197334806168e+25,2.19757353694274e+25,2.15334100792312e+25,2.58182040117304e+25
2.78206630176576e+24,1.09961881401335e+25,9.77911164029035e+24,1.76676392105646e+25,2.15874557526175e+25,4.11971255248731e+24,3.78923344527516e+24,2.12807866743361e+25,2.19028240830361e+25
4.78731849864969e+24,4.79853747250039e+24,1.72391672220672e+25,1.03117080652127e+25,2.35136697114018e+25,1.0220777532404e+25,5.3940273917859e+24,1.20746636642404e+25,1.1633873763368e+25
1.4103556938525e+25,3.69968243216549e+24,8.48584652604564e+24,9.16847602533754e+24,1.04935101067248e+25,1.56345260088025e+25,2.83939134962481e+24,2.03983867436611e+25,1.61880682005256e+25
1.51313041426924e+25,1.0412746947873e+25,5.32376778987309e+24,6.80267629512746e+24,2.03789318543881e+25,2.62440751800792e+25,1.97292643705182e+25,6.23785979724678e+24,1.43325849932509e+25
3.49668055907542e+24,1.28798322847836e+25,1.97993588761718e+25,2.30016834032583e+25,6.56966237180051e+24,1.19112983363795e+25,2.14486587572334e+25,1.83618740721494e+25,1.13610130415199e+24
1.92804209061868e+25,1.7454990929693e+25,1.49716851213528e+25,8.9585860123479e+24,2.29806064920486e+25,2.1756199521465e+25,7.11113648489567e+24,1.66124415682716e+25,8.33362276174781e+24
1.07437866762525e+25,1.31522934588704e+25,2.31446034580982e+25,2.05929921182897e+25,1.7644038328497e+25,2.53818547680894e+25,1.19682311839146e+25,8.58251803535157e+24,2.31007391346721e+25
2.54943544633164e+24,1.35132909089681e+25,1.39494739192165e+25,1.60335295550135e+25,6.74466589526483e+23,4.44133425195004e+24,2.58768281159403e+25,1.00505821599528e+25,2.63397487631512e+25
2.51836101664896e+25,3.3566164390033e+24,1.46988810249531e+25,2.3390298229773e+25,2.91075086032205e+24,9.25045956131592e+24,2.39108056012274e+24,2.31968297269428e+25,3.14381187628002e+23
7.06952724034543e+24,9.1357707073305e+24,2.03310968994383e+25,1.07785703967526e+25,1.35417789308979e+25,1.95401571387532e+24,1.33458502413379e+25,3.03437084049722e+24,1.76970712267512e+24
2.36209692189289e+25,2.00328353951156e+24,3.46053819007641e+24,2.46250001265766e+25,2.34229863311261e+25,1.37022415093426e+25,1.2888467253111e+25,8.75762068527765e+24,1.53289645279649e+24
1.09093243479278e+25,2.20868732749453e+25,2.21205755886591e+25,8.39064683015688e+24,2.05177508633171e+25,8.11504173333928e+24,2.52373327495328e+25,1.87548116806285e+25,5.88590152136944e+24
2.25046776588979e+25,2.71067582118159e+24,1.20371101065532e+25,1.95948045470824e+25,1.44739076945891e+25,9.31402231560502e+24,1.02077313665698e+25,1.77879071713351e+25,2.3357935201381e+25
1.51710144013457e+25,2.27859813959622e+24,1.0945663144564e+25,1.2696624113447e+25,9.94909819272586e+24,2.4477074601047e+25,9.22663621183057e+23,1.02520311196607e+25,2.59304714451767e+25
1.66560610677987e+25,6.41500678643075e+24,1.9155212889051e+25,8.40999778952679e+24,1.67144163255253e+25,2.41535399181309e+24,5.6106361493661e+24,2.65035416245913e+24,1.22578114518603e+25
2.20996587458115e+24,1.63782638464311e+25,2.27107738903185e+25,1.71139499412456e+25,1.92428038173238e+25,2.42486167581924e+25,1.7921641735739e+25,1.84927398911536e+25,1.83000939097138e+25
1.72588830483776e+24,2.08542507617437e+25,1.20629641125193e+25,1.41955377298828e+25,1.83991355707016e+25,2.4239954437985e+25,7.59805375643412e+24,1.89739871002789e+25,2.56015314270163e+25
1.63141812153889e+25,1.39059632447398e+25,8.22299752404274e+24,5.91868619495047e+24,2.49434381515533e+25,4.17304595126464e+24,1.2323668767061e+25,1.13158774846113e+25,3.80249569681526e+24
9.28736925580302e+24,9.83104390997334e+24,7.04307819887154e+24,5.19460957832566e+24,9.21865325246227e+24,1.66315476963615e+25,1.26116452428254e+25,2.19635816793393e+25,2.35472660125462e+25
7.46574679118214e+24,1.0551394305078e+25,1.15067268814213e+25,9.53766644476098e+24,2.39216125971773e+25,5.3505634433982e+24,2.04725617749116e+25,1.39585971222902e+25,2.35857011960667e+25
9.97781162797714e+24,2.41762389312386e+25,9.88733239769234e+24,3.75193942478318e+24,2.63671598070207e+25,4.35658389734161e+24,1.25373798147798e+25,5.30805264984646e+24,1.11030123400325e+25
4.33272728414521e+24,2.1807454606321e+25,3.91451992225997e+24,5.0098748425762e+24,3.94223209725813e+24,1.81093050526388e+25,1.38979035998442e+25,7.90637208025806e+24,2.02747484951313e+25
9.43491734591069e+24,1.74787834786865e+25,1.889447927418e+25,1.03921051459291e+25,5.0332062923329e+24,7.38226437945298e+24,1.7029865793923e+25,1.85791604250449e+25,8.9480120825804e+24
9.41015144605454e+24,1.11374120339113e+25,2.01714747007622e+25,1.67832183939728e+25,1.97815408510337e+25,1.97124451928281e+25,1.16820334214135e+25,1.45561703347425e+25,2.17165989980732e+24
2.44219601909935e+25,1.99299900905951e+25,1.75171810478873e+25,1.34151955075157e+25,1.21819394992339e+25,1.88156693160304e+25,2.53307353763045e+25,1.46594005492505e+25,2.22661359110886e+25
1.13110701020469e+25,1.76102984572074e+25,2.5659631001051e+25,1.94635321771436e+25,9.52091059729638e+24,2.11349462010897e+25,2.06877577900015e+25,1.43771798125328e+25,6.23033155865213e+24
9.52996151128368e+23,1.52390994242213e+25,2.51134975174582e+25,8.43981440686996e+24,1.19184140255612e+25,2.47478165939409e+25,9.86818523190557e+24,1.96253882525217e+25,1.06941096141767e+25
2.11880205330429e+25,1.14200637827826e+25,1.95411140482343e+25,2.34451806045549e+24,1.50984620702102e+25,1.35585611450542e+24,8.61834835956633e+23,1.24214905735757e+25,1.53573907598813e+25
5.99848050607248e+24,4.84366754035369e+24,5.13921940889824e+24,9.16221738349108e+24,1.01552270556489e+25,1.89361237856739e+25,1.01324632479221e+25,2.53029910063115e+25,1.08859312284947e+25
4.70242047748481e+24,1.22048971052639e+25,6.93758180589535e+24,4.08090963659082e+24,2.21537456425909e+25,1.99674209851449e+25,1.05747770561536e+25,1.26374723542882e+25,1.29260643386144e+25
1.16118679660875e+25,1.91000869972522e+25,1.91315569394467e+25,1.98401495768063e+25,1.800316026511e+25,7.93762183200806e+23,1.28066623715683e+25,1.48757455465653e+25,7.49700012259139e+24
1.01011173751267e+25,2.52258314865441e+24,1.43007981668629e+24,6.75494362350744e+24,1.45585524619758e+25,6.41805848188443e+24,1.22450970885403e+24,2.25183398575504e+25,2.37172908453994e+25
2.50546762662066e+25,9.66980750892877e+24,2.53995626766097e+25,2.21446255066206e+25,1.11179359039366e+24,1.23995159858353e+25,2.4026576348371e+25,8.87149458620741e+24,2.64238440068236e+25
6.59315592586365e+24,1.25829957771103e+25,5.62991172591134e+23,1.14547158158141e+25,1.30661644759422e+25,2.27348614052595e+25,2.53449048504215e+25,2.03615745799825e+24,1.52821236764901e+25
7.377939611663e+23,1.52031784159369e+25,1.08634799328741e+25,4.25316760498272e+24,1.31206861953406e+25,1.76742204039918e+25,5.2592766252845e+24,2.32670849545803e+24,1.57464294720557e+25
1.64970327613897e+25,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21,5.18470613302959e+21
