"S.c","I.c","R.c","S.m","I.m","R.m","p.c","p.m","time","auc.c","auc.m","max.c","max.m"
176.526170503577,5.16715657696306e-07,8.70351260313113e-07,214.702307495749,5.27503424823142e-06,9.53945326501017e-06,2.92713342255224e-09,2.45690600430916e-08,2001,0.00333715821905776,0.00181275605207606,0.00513425491874119,0.00057341053900701
192.781058225306,1.25900309034406e-07,3.32433937406604e-06,424.778266931697,3.16139603801173e-06,8.46353556425736e-06,6.53074051673701e-10,7.44246162669609e-09,2001,0.00176790060792902,0.000266073007302886,0.00438187384798448,8.76551046887998e-05
670.89164902163,3.15861142007085e-06,1.59383112646498e-06,365.651514053499,3.19073440553287e-05,0.000134052351276297,4.70807976564057e-09,8.7261581990208e-08,2001,0.00208954234303529,0.000443079351399644,0.00154881723118686,8.8040174519514e-05
522.335722109418,0.000137569994773951,9.85351047216254e-05,565.260205745934,0.00772347020194292,0.00287064977409857,2.63374543931844e-07,1.36633100520583e-05,2001,0.000718738745104006,0.00252765640351305,0.00196459558578407,0.00037695231112362
880.916941003475,2.28066936232006e-07,5.21703390971483e-06,220.731070615783,1.68560417953601e-08,4.25901208775107e-08,2.58897206089019e-10,7.63646084975553e-11,2001,0.00148000897730936,1.17297524055563e-05,0.00121643341737063,3.08990081718963e-06
13.2107893143879,0.00310691377497545,0.0760399795807434,625.912326596182,0.290309705841934,0.341843594241887,0.000233779434785033,0.000463350512464811,2001,0.110984548046996,0.0518078167490792,0.0751857500351185,0.00564487348644658
634.365396584438,0.00131057528564546,0.000312967643454156,435.117455292515,0.000130273681342427,0.00272005999356187,2.06595747266673e-06,2.99396924615934e-07,2001,0.00469861759456447,0.000320344615662174,0.00169918041392166,5.09246073808056e-05
112.86209224191,2.78405197136193e-06,1.21463411804627e-06,220.076828932315,0.000218690388368142,6.79936540484476e-05,2.46677322511092e-08,9.93698903021645e-07,2001,0.00189683892189482,0.00151458854893061,0.00370830518036941,0.000339701111309199
387.440780623183,4.95823074896316e-10,1.21526148535956e-09,514.903594207448,4.03342511024394e-09,0.00114870926193425,1.27973899416735e-12,7.83334231369623e-12,2001,0.000865487709151361,9.94457462477529e-05,0.0011128857157154,4.00820044771119e-05
548.148272445067,6.32748187669666e-07,0.000693684024143031,473.35095950553,2.83014343364134e-06,6.58775622481256e-06,1.15433618603277e-09,5.97895350267921e-09,2001,0.00103433844245425,0.000405400488089132,0.00192804210766178,0.00012790795248423
512.080579073406,0.0024601288226478,0.000442600447428813,443.901007459541,0.00504590213136819,0.145823962923876,4.80415578723114e-06,1.13633167407593e-05,2001,0.00284804121914395,0.00145085884282364,0.00198140735853954,0.00015646986314666
307.927479221879,0.00234975380056736,0.0320717092402421,140.065790613453,0.00830166169221856,0.00184901452903871,7.63001460681147e-06,5.92654357042718e-05,2001,0.00466827810116388,0.00669276863087687,0.00329040552725004,0.000734212065875873
540.664690300963,1.66841441314779e-06,1.73193885814733e-06,457.235485729958,3.29558455748199e-05,2.40518109538914e-05,3.08585789415258e-09,7.20762987441937e-08,2001,0.00111555680555697,0.000646532803361202,0.001951520435352,0.000167588923783408
491.585840266356,3.7198028550414e-05,1.98885349969136e-06,411.335684288499,0.000496732612250714,0.000694792520096766,7.56694406922086e-08,1.20760535088951e-06,2001,0.000636394373167561,0.00102023228440815,0.00153053442931454,0.000202009771379658
111.329916864127,0.000121014656156823,5.08963778851252e-05,252.752553402115,0.00755158051462486,0.0177775224803939,1.08698966728771e-06,2.98743720763315e-05,2001,0.0107556911709292,0.00497124433571838,0.00958138563551439,0.00061601155600102
774.619539212819,0.00133046398581636,0.00111170435905375,424.184622917575,0.00472529132617822,0.00143710767481836,1.71756549361551e-06,1.11395426061688e-05,2001,0.0013497091130697,0.0015863970104234,0.00131075815196922,0.00018073581851736
681.749053486598,1.1746235260607e-07,0.0231543507685546,112.43302388058,2.02227143639099e-07,6.92786385416154e-05,1.72289734365137e-10,1.79864431007858e-09,2001,0.00179534095525302,1.71778123405808e-05,0.00157426621009417,3.74342051509224e-06
476.745731787138,0.00894334522904722,0.00261429759556189,601.784924963006,0.0569484663478864,0.00697382348949888,1.87586963583512e-05,9.46225395426598e-05,2001,0.00660266565751266,0.00565288062089042,0.00210367637341603,0.000469843396036036
680.14412623597,0.00393987257539409,0.0181900566321263,606.836745718957,0.00988474594483081,0.0118423281542341,5.79251402092094e-06,1.62883874708652e-05,2001,0.00219852619578859,0.00306336040047628,0.00158269359047178,0.000374897355061142
325.154353641716,0.0418921968360519,0.0160802573382233,476.389742882933,0.0571316936643163,0.041988616400433,0.000128814910981264,0.000119901424938815,2001,0.0138140142995282,0.00794434370861241,0.0033055523527966,0.000705626563031349
653.066099528004,0.00184929898295911,0.00621005381201246,669.797425867755,0.0310746145129793,0.0139282046349416,2.8316829839483e-06,4.63909319299094e-05,2001,0.00082674522254722,0.00220086835130417,0.00154293297182556,0.000190256357041609
599.372291617477,1.3295458839837e-05,2.12309961501057e-06,516.17478214224,0.000337456306780484,0.0754214092480066,2.21823041935063e-08,6.53667705842441e-07,2001,0.00165566350310276,0.00112509724251705,0.00165678229472303,0.000217040223860305
274.474933233548,0.000245181263194968,0.00451629923761222,701.549230894597,0.000908477395355867,0.000450217718102082,8.9325829165759e-07,1.29495635644348e-06,2001,0.00758783359308313,0.000521835038236496,0.00321538170668126,6.80317072636924e-05
354.368729561404,1.04037652688001e-07,1.54404856760251e-07,510.711114064187,2.49789666672753e-05,0.00319876261881273,2.93585872379009e-10,4.89098598143821e-08,2001,0.000661362461444712,0.000227958866049649,0.00284321398885457,6.73470518622082e-05
517.318156818044,0.00550472798064942,0.00168091731359919,299.935994986436,0.00115066448591416,0.00147931552184321,1.06407467966631e-05,3.83633313663051e-06,2001,0.00627119056493264,0.000982511092862959,0.00200707370563203,0.000111684682937884
